,address,city,name,rating,review_count
0,Travel Centers of America,Dallas,Taco Bell,1.5,2
0,7718 N Central Expy,Dallas,Chick-fil-A,3.5,120
0,3040 W Mockingbird Ln,Dallas,Chick-fil-A,2.0,103
0,8687 N Central Expy,Dallas,Chick-fil-A,3.5,22
0,8008 Cedar Springs Rd,Dallas,Chick-fil-A,2.5,69
0,6176 Retail Rd,Dallas,Chick-fil-A,3.0,45
0,3820 W Northwest Hwy,Dallas,Chick-fil-A,3.0,55
0,3500 Gaston Ave,Dallas,Chick-fil-A,3.0,2
0,8200 Walnut Hill Ln,Dallas,Chick-fil-A,4.0,3
0,1201 Elm St,Dallas,Chick-fil-A,3.0,18
0,12120 Inwood Rd,Dallas,Chick-fil-A,2.5,52
0,9111 Garland Rd,Dallas,Chick-fil-A,4.0,42
0,12795 Midway Rd,Dallas,Chick-fil-A,4.0,29
0,9386 Lyndon B Johnson Fwy,Dallas,Chick-fil-A,3.0,65
0,1535 N Cockrell Hill Rd,Dallas,Chick-fil-A,3.0,47
0,14897 Preston Rd,Dallas,Chick-fil-A,2.5,79
0,15235 Montfort Rd,Dallas,Chick-fil-A,3.5,53
0,4523 Frankford Rd,Dallas,Chick-fil-A,3.0,80
0,3000 Mountain Creek Pkwy,Dallas,Chick-fil-A,3.0,1
0,2429 W Wheatland Rd,Dallas,Chick-fil-A,2.5,70
0,International Parkway,Dallas,Chick-fil-A,3.0,11
0,3020 West Mockingbird Lane,Dallas,Burger King,2.0,28
0,2400 Aviation Dr,Dallas,McDonald's,3.0,72
0,15220 Montford Dr,Dallas,McDonald's,2.5,6
0,8117 E Rl Thornton Fwy,Dallas,McDonald's,1.5,15
0,1000 Commerce St,Dallas,McDonald's,2.0,63
0,AAFES Headquarters,Dallas,Taco Bell,5.0,3
0,6950 Greenville Ave,Dallas,McDonald's,1.5,25
0,1548 N Cockrell Hill Rd,Dallas,Burger King,1.5,3
0,705 W Jefferson,Dallas,McDonald's,5.0,5
0,9680 Audelia Rd,Dallas,Wendy's,2.0,3
0,5119 Ross Ave,Dallas,Burger King,1.5,13
0,6749 Abrams Rd,Dallas,Burger King,1.5,14
0,801 N Industrial,Dallas,Burger King,1.0,17
0,8383 North Stemmons Freeway,Dallas,Burger King,1.5,12
0,2828 West Northwest Hwy,Dallas,Burger King,2.0,11
0,11830 North Central Expressway,Dallas,Burger King,1.5,20
0,3629 Forest Lane,Dallas,Burger King,1.5,12
0,2441 Walnut Hill Lane,Dallas,Burger King,1.5,12
0,5575 Peterson Lane,Dallas,Burger King,1.5,15
0,6085 Samuell Rd,Dallas,Burger King,1.5,7
0,102 East Jefferson Blvd,Dallas,Burger King,2.0,4
0,2525 West Davis,Dallas,Burger King,1.5,12
0,11404 East Northwest Hwy,Dallas,Burger King,1.0,7
0,14010 Coit Rd,Dallas,Burger King,2.5,4
0,2341 Gus Thomasson Rd,Dallas,Burger King,2.0,11
0,1548 N Cockrell Hill Rd,Dallas,Burger King,1.5,3
0,725 W Illinois Ave,Dallas,Burger King,2.0,13
0,3004 South Buckner Blvd,Dallas,Burger King,3.0,4
0,2439 W Ledbetter Dr,Dallas,Burger King,1.5,7
0,10106 Lake June Rd,Dallas,Burger King,1.0,6
0,18511 Marsh Ln,Dallas,Burger King,1.5,28
0,7751 Bonnieview Dr,Dallas,Burger King,2.5,4
0,7300 S Cockrell Hill Rd,Dallas,Burger King,1.5,12
0,2403 W Wheatland Rd,Dallas,Burger King,1.0,18
0,Dfw Airport Terminal E Gate,Dallas,Burger King,2.0,2
0,2328 W. Illinois Ave.,Dallas,Wendy's,1.5,5
